Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WI,2013,"8         ",Female,14,Right-Handed,166,25,174,1,Bus,20,0.417,71,Basketball,500,900,1000,1000,600,9000,26,"Left foot",98,102,"Ring finger",July,Fall,No,No,Fruit,Water,Art,7,9,5,"Yes - other","Text messaging",5,5,50,1,7,80,95,1,5,10,2,20,1,3,Some,"Graduate degree",Country,Fly,Happy,Relative,Health
USA,TN,2016,"6         ",Female,12,Left-Handed,161,22,155,1,Bus,15,0.507,63,Basketball,1000,500,600,0,800,1000,22,"Same length",90,90,"Same length",March,Summer,Yes,No,Desserts,"Soft drink (caffeinated)","Mathematics and statistics",7,4,5,,"Cell phone",78,60,0,10,1,3,2,4,11,7,24,1,2,1,None,"Graduate degree","Rap/Hip hop",Telepathy,Famous,"Musician or singer","Wildlife, animals"
USA,WI,2015,"7         ",Female,12,Right-Handed,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,DC,2010,"8         ",Female,13,Right-Handed,152,22.2,162,1,Walk,2,0.46,0.58,Athletics,567,738,1000,,5,11,22,"Same length",9,10,"Ring finger",September,Summer,No,No,Other,Other,"Physical education",6,5,4,"Yes - broadband connection","Cell phone",25,17,5,1,3,9,3,2,3,1,5,12,3,1,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Famous,Actor,"Wildlife, animals"
USA,MD,2014,"7         ",Female,13,Right-Handed,150,21,63,1,Bus,5,0.522,142,Other,100,50,3,3,1000,1000,21,"Same length",8.5,6,"Index finger",July,Summer,Yes,No,Salads,"Soft drink (caffeinated)",English,7,8,4,"Yes - other","Text messaging",50,4,4,1,1,3,1,2,3,5,10,1,8,2,Some,"Some college",Pop,Invisibility,Happy,Actor,Health
USA,MA,2016,"8         ",Female,13,Left-Handed,160,21,163,1,Bus,15,.33,49,Gymnastics,1000,900,1000,1000,500,1000,22,,2.5,.7,"Ring finger",February,Summer,No,No,"Rice/Noodle dishes",Coffee,Art,7,5,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",250,1000,10,8,5,5,2,1,20,9,18,15,0,8,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,"Arts, culture, sports"
USA,WI,2016,"8         ",Female,13,Left-Handed,59,24,59,2,,15,0.734,57,Other,1000,600,1000,1000,0,9000,24,"Same length",80,70,"Index finger",August,Summer,Yes,No,Seafood,"Soft drink (caffeinated)",English,8,10,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",30,54,5,0,1,0,0,0,2,2,2,1,0,3,Some,"Graduate degree",Country,"Freeze time",Rich,"Religious figure","Wildlife, animals"
USA,NY,2015,"7         ",Female,13,Right-Handed,157.5,24,155,1,Car,5,0.456,41,None,503,701,342,620,1000,1000,24,"Same length",72,60,"Ring finger",March,Fall,No,No,Pizza/Pasta,"Powdered drink",Art,9,12,5,"Yes - other",,0,0,3,0,5,1.5,0,18,2,1,18,9,0,1,Some,"Some college",Other,Fly,Healthy,Other,"Wildlife, animals"
USA,DC,2011,"6         ",Female,11,Right-Handed,161,25,162,1,Car,10,0.421,40,Running/Jogging,203,503,422,,203,310,23,"Right foot",75,75,"Same length",December,Summer,Yes,No,Pizza/Pasta,"Soft drink (non-caffeinated)","Mathematics and statistics",7,11,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",8,16,9,1,3,5,2,4,2,1,4,7,1,2,"Very little","Graduate degree","Rhythm and blues (R&B)","Freeze time",Rich,Relative,Environment
USA,CA,2012,"7         ",Female,13,Right-Handed,166.3,2.4,165,1,Car,45,0.758,47,Dancing,,,,,,,2.4,"Same length",70,80,"Same length",September,Summer,No,No,Salads,"Soft drink (caffeinated)",Science,8,10,4,"Yes - other","Text messaging",50,50,4,1,2,4,6,4,3,6,4,5,1,1,"A lot","Graduate degree",Pop,Fly,Happy,"Sports person",Health
USA,NC,2014,"7         ",Female,12,Right-Handed,173,22,155,1,Bus,30,0.362,,"Football (American)",9,9,10,10,9,9,20,"Right foot",6,7,"Ring finger",September,Summer,Yes,No,"No favorite","Sports drink","Physical education",8,0,2,"Yes - other","Text messaging",0,1,0,0,1,2,3,1,1,1,1,1,3,1,None,"Graduate degree","Rap/Hip hop",Invisibility,Healthy,Relative,"Wildlife, animals"
USA,NC,2014,"7         ",Female,12,Right-Handed,173,22,155,1,Bus,30,0.362,,"Football (American)",9,9,10,10,9,9,20,"Right foot",6,7,"Ring finger",September,Summer,Yes,No,"No favorite","Sports drink","Physical education",8,0,2,"Yes - other","Text messaging",0,1,0,0,1,2,3,1,1,1,1,1,3,1,None,"Graduate degree","Rap/Hip hop",Invisibility,Healthy,Relative,"Wildlife, animals"
USA,NC,2016,"6         ",Female,12,Right-Handed,160,21,149,1,Bus,15,0.484,44,Soccer,70,0,1000,1000,1000,1000,21,"Same length",8,5,"Same length",August,Summer,,No,Poultry,Tea,"Physical education",8,0,6,"Yes - other","Internet chat or instant messaging",100,100,0,0,0,0,1,13,24,24,24,3,0,24,Some,"Some college",Pop,Telepathy,Rich,Friend,Health
USA,CO,2015,"6         ",Female,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2014,"6         ",Female,12,Right-Handed,177,24,171,1,Walk,10,0.308,36,Swimming,250,450,450,750,750,750,23.5,"Right foot",80,88,"Ring finger",January,Summer,Yes,No,Pizza/Pasta,Milk,"Mathematics and statistics",9,7,4,"Yes - broadband connection","Cell phone",0,0,3,2,15,10,2,.5,0,1.5,25,9,0,3,"Very little","Graduate degree",Pop,Fly,Happy,Actor,Other
